tag_id,tag_name
1,"""eggs"""
2,"""cheese cake"""
3,"""healthy"""
4,"""vegan"""
5,"""cookies"""
6,"""salads"""
7,"""beef"""
8,"""diet"""
9,"""muffins"""
10,"""pie"""
11,"""pistachios"""
12,"""cocoa"""
13,"""pizza"""
14,"""pasta"""
15,"""cake"""
16,"""soups"""
17,"""cereals"""
18,"""multigrains"""
19,"""sandwiches"""
20,"""seafood"""
21,"""noodles"""
22,"""almonds"""
23,"""stews"""
24,"""walnuts"""
25,"""vegetables"""
26,"""chocolate"""
27,"""bread"""
28,"""lamb"""
29,"""pies"""
30,"""chicken"""
31,"""butter"""
32,"""cheese"""
33,"""fasting"""
34,"""cashews"""
35,"""brownie"""
36,"""keto"""
37,"""desserts"""
